asin,name,date,rating,review,
B00GX9TS6O,PaperBoat-Aamras-Juice-250ml,2018-06-11,2,I got a product which is going to be expire in next one month.They are shipping the products which are going to be expire soon.MFG Date: 24/01/18Best Before: 23/07/18I can get the same product out which are manufactured in current month. I am facing the same issue with other products as well.,
B00GX9TS6O,PaperBoat-Aamras-Juice-250ml,2018-04-13,3,"Seller: CloudtailPrinted MRP: Rs. 30/- per 250 ml packPurchased for: Rs. 153/- (for 250 ml x 6 packs)Mfg. Date; 01/02/18Exp. Date: 31/07/18Made in: Haryana & Karnataka, INThe alphonso aam variety from the same brand has been unavailable for quite many months now, so I said to myself ""What the heck!"" and bought this instead. Taste is ok.",
B00GX9TS6O,PaperBoat-Aamras-Juice-250ml,2019-09-15,4,"Taste resembles that there is 45% mango pulp in solution. It tastes like a natural mango. If you are not being able to get natural mango shake during season, it may be preferred in off season over other mango juice like Frooti etc.",
B00GX9TS6O,PaperBoat-Aamras-Juice-250ml,2019-06-29,5,"Tastes good, one can make out no preservatives or sugar is added. But pls know it is not juice it is mango pulp (aamras). & i feel Paperboat is an Indian company, though not yet researched. All in all a good buy.",
B00GX9TS6O,PaperBoat-Aamras-Juice-250ml,2019-05-10,5,"Make sure amazon delivers you a fresh productI had issues with the month of packaging and all but as far as product is concerned, its really good.",
B00GX9TS6O,PaperBoat-Aamras-Juice-250ml,2018-04-23,5,"The best Aamras juice pack I have had, compelled me to try out other items by Paper Boat. They were packed with pulp and the original stuff, not like other brands giving in flavored cherry/papaya pulps.",
B00GX9TS6O,PaperBoat-Aamras-Juice-250ml,2019-04-12,5,The paper boat juices are excellent but poor availability on Amazon.Packet received totally damaged.,
B00GX9TS6O,PaperBoat-Aamras-Juice-250ml,2020-06-09,4,It's all perfect except the price per ltr of this aamras if it was around 120Rs/ltr then it would be nice.,
B00GX9TS6O,PaperBoat-Aamras-Juice-250ml,2018-04-29,3,"✔ Fresh juice with Pure Mango.✔ Pack feels little soft to hold.✔ Too much sweetness in drink, tastes like Mango Mood Candy (90's kids remember that)✔ Fresh Stock which has limited six months of expiry.✔ Value for money. Go for it.",
B00GX9TS6O,PaperBoat-Aamras-Juice-250ml,2020-05-28,4,"This is not like maaza,I drink maaza a lot but this is very thick  of mango juice.Pour into glass and drink",
B00RLHKJCO,Indiana-Frutti-Cherries-Frooti-Multicolor,2020-07-19,5,"It comes with a delicious taste,you can consume it directly or you can decorate cake with these delicious candies,highly recommended.",
B00RLHKJCO,Indiana-Frutti-Cherries-Frooti-Multicolor,2020-07-16,5,"It's a vegetarian products , we can also consumed it directly . It so much tasty .Delicious in taste.",
B00RLHKJCO,Indiana-Frutti-Cherries-Frooti-Multicolor,2020-07-31,5,Very good buy of a very good product. Best tooti frooti I have bought till now.,
B00RLHKJCO,Indiana-Frutti-Cherries-Frooti-Multicolor,2020-07-19,5,"It comes with a delicious taste,you can consume it directly or you can decorate cake with these delicious candies,highly recommended.",
B00RLHKJCO,Indiana-Frutti-Cherries-Frooti-Multicolor,2020-07-16,5,"It's a vegetarian products , we can also consumed it directly . It so much tasty .Delicious in taste.",
B00RLHKJCO,Indiana-Frutti-Cherries-Frooti-Multicolor,2020-07-31,5,Very good buy of a very good product. Best tooti frooti I have bought till now.,
B085PYYDD6,CocaCola-300ml-Pack-6,2020-03-08,5,Got it for 160/- 100% value for money taste was  like original  coco cola packaging was also good,
B085PYYDD6,CocaCola-300ml-Pack-6,2020-02-27,5,"Nice as always.An extra-ordinary experience in terms of service, quality, affordability & accessibility to products of great value, which otherwise would'nt have been possible if not for Amazon’s amazing dedication......",
B085PYYDD6,CocaCola-300ml-Pack-6,2020-01-15,5,Love Coke!Yes the cans were great and at a good price too,
B085PYYDD6,CocaCola-300ml-Pack-6,2020-05-09,1,"Out of 6 cans, 5 were puffed and one was a sealed but EMPTY can 😡 photos and videos attached. Highly disappointed. Please refund my money",
B085PYYDD6,CocaCola-300ml-Pack-6,2020-05-06,5,"U may recieve a coke can slightly damaged during transit, but it is 100%original....price is affordable and good deal in good price,specially in this corona.......Beat the Heat with this soft drink......serve chilled .........cool beverage.....",
B085PYYDD6,CocaCola-300ml-Pack-6,2020-06-26,3,The can are damaged as per the photo. That came out from the plastic wrapper with coke written on it.Not sure if this has happened due to transit or from manufacturing.However I am not satisfied. I ordered this product as I love the original taste.I might not get my value from the product now.Viraj Mohan,
B085PYYDD6,CocaCola-300ml-Pack-6,2020-09-03,5,"Firstly i dont understand what does ""Warmth"" in this review means.Coke is supposed to be consumed cold so warmth is out of my scope of my intelligence.Since lock down, have not been able to get these cans. All grocery stores have pet bottles and as soon as this was listed. Ordered one.",
B085PYYDD6,CocaCola-300ml-Pack-6,2020-07-25,3,"I received 6 cans of coke, out of which one seemed lighter than normal. It was immediately clear that the can had lesser liquid. I checked for any damage or leakage, but there was none. I have posted photographs of the defective can and a normal one, and the weight displayed is a clear indication.Again, i would like to emphasize that the can was not damaged and the photographs are not edited.",
B085PYYDD6,CocaCola-300ml-Pack-6,2020-08-18,4,"Overall a good deal. Packing was not good and there were swellings due to pressure buildup, but no complaints. Got it at Rs 199 for 6 cans. Highly recommended.Hope this review is helpful.",
B085PYYDD6,CocaCola-300ml-Pack-6,2020-05-08,5,got in 210 rs quick delivery n affordable price thanks amazon product delivered without getting a little scratch,
B085PYYDD6,CocaCola-300ml-Pack-6,2020-03-08,5,Got it for 160/- 100% value for money taste was  like original  coco cola packaging was also good,
B085PYYDD6,CocaCola-300ml-Pack-6,2020-02-27,5,"Nice as always.An extra-ordinary experience in terms of service, quality, affordability & accessibility to products of great value, which otherwise would'nt have been possible if not for Amazon’s amazing dedication......",
B085PYYDD6,CocaCola-300ml-Pack-6,2020-01-15,5,Love Coke!Yes the cans were great and at a good price too,
B085PYYDD6,CocaCola-300ml-Pack-6,2020-05-09,1,"Out of 6 cans, 5 were puffed and one was a sealed but EMPTY can 😡 photos and videos attached. Highly disappointed. Please refund my money",
B085PYYDD6,CocaCola-300ml-Pack-6,2020-05-06,5,"U may recieve a coke can slightly damaged during transit, but it is 100%original....price is affordable and good deal in good price,specially in this corona.......Beat the Heat with this soft drink......serve chilled .........cool beverage.....",
B085PYYDD6,CocaCola-300ml-Pack-6,2020-06-26,3,The can are damaged as per the photo. That came out from the plastic wrapper with coke written on it.Not sure if this has happened due to transit or from manufacturing.However I am not satisfied. I ordered this product as I love the original taste.I might not get my value from the product now.Viraj Mohan,
B085PYYDD6,CocaCola-300ml-Pack-6,2020-09-03,5,"Firstly i dont understand what does ""Warmth"" in this review means.Coke is supposed to be consumed cold so warmth is out of my scope of my intelligence.Since lock down, have not been able to get these cans. All grocery stores have pet bottles and as soon as this was listed. Ordered one.",
B085PYYDD6,CocaCola-300ml-Pack-6,2020-07-25,3,"I received 6 cans of coke, out of which one seemed lighter than normal. It was immediately clear that the can had lesser liquid. I checked for any damage or leakage, but there was none. I have posted photographs of the defective can and a normal one, and the weight displayed is a clear indication.Again, i would like to emphasize that the can was not damaged and the photographs are not edited.",
B085PYYDD6,CocaCola-300ml-Pack-6,2020-08-18,4,"Overall a good deal. Packing was not good and there were swellings due to pressure buildup, but no complaints. Got it at Rs 199 for 6 cans. Highly recommended.Hope this review is helpful.",
B085PYYDD6,CocaCola-300ml-Pack-6,2020-05-08,5,got in 210 rs quick delivery n affordable price thanks amazon product delivered without getting a little scratch,
B07Y3L2QD3,Natural-Mango-Juice-1L-Pack,2020-03-06,2,"you should not label a product as ""Natural Juice"" if it is a mixture of some juice with water and sugar and other flavorings including artificial flavors.  It doesn't taste badly but for anyone who bought it thinking it was going to be a liter of Natural Mango Juice, it is a very disappointing experience.  Why not be honest??",
B07Y3L2QD3,Natural-Mango-Juice-1L-Pack,2020-08-14,3,"I have bought this item a few times from Amazon. This morning however, I ordered it from Amazon Fresh and was shocked to be delivered a carton that was soaked in rat urine and stinking. You can see from the picture how terrible it looked. The juiceboxes inside weren't damaged but the stench of leptospirotic urine is unbearable and other packaged foods were in the same grocery bag!Amazon Fresh items cannot be returned or replaced, unfortunately, so I am stuck with this. Have to discard the juice boxes.",
B07Y3L2QD3,Natural-Mango-Juice-1L-Pack,2019-08-12,1,Very very bad product.. Didnt expect this quality from B Natural.. I m a regular B Natural customer.. Mainly guava... This time i tried mango... V poor taste... Completely artificial n very diluted drink too.. Thumbs down from me,
B07Y3L2QD3,Natural-Mango-Juice-1L-Pack,2019-06-19,2,Taste of juice is ok not best . Much sugar added to manufacturing & tags of natural ingredients is only for marketing purpose. No any brand provide natural taste because of it's processing way. As a costumer we understood that avoid it . Take a slice of fruit is better than...,
B07Y3L2QD3,Natural-Mango-Juice-1L-Pack,2019-08-29,5,Actually I have ordered for mango juice but I have been supplied with Litchi Juice. It is 2nd time this has happened in this month itself. This unethical to your standard and do the precautionary measures to avoid such mistakes,
B07Y3L2QD3,Natural-Mango-Juice-1L-Pack,2019-08-23,5,Best packing for this type of the product and Also...the quality of the product...👍👍👍,
B07Y3L2QD3,Natural-Mango-Juice-1L-Pack,2020-07-18,5,Taste is very good. I got it in just 168/- Good taste and juice consumption is a good practice for health !,
B07Y3L2QD3,Natural-Mango-Juice-1L-Pack,2020-09-04,5,The taste was awesome and the juice was thick. Value for money ....Loved it !!,
B07Y3L2QD3,Natural-Mango-Juice-1L-Pack,2019-07-03,4,Tastes like original mango pulp and acidic. Very good.,
B07Y3L2QD3,Natural-Mango-Juice-1L-Pack,2020-08-12,5,quality and product is very good. And this is definitely worth for your money,
B07Y3L2QD3,Natural-Mango-Juice-1L-Pack,2020-03-06,2,"you should not label a product as ""Natural Juice"" if it is a mixture of some juice with water and sugar and other flavorings including artificial flavors.  It doesn't taste badly but for anyone who bought it thinking it was going to be a liter of Natural Mango Juice, it is a very disappointing experience.  Why not be honest??",
B07Y3L2QD3,Natural-Mango-Juice-1L-Pack,2020-08-14,3,"I have bought this item a few times from Amazon. This morning however, I ordered it from Amazon Fresh and was shocked to be delivered a carton that was soaked in rat urine and stinking. You can see from the picture how terrible it looked. The juiceboxes inside weren't damaged but the stench of leptospirotic urine is unbearable and other packaged foods were in the same grocery bag!Amazon Fresh items cannot be returned or replaced, unfortunately, so I am stuck with this. Have to discard the juice boxes.",
B07Y3L2QD3,Natural-Mango-Juice-1L-Pack,2019-08-12,1,Very very bad product.. Didnt expect this quality from B Natural.. I m a regular B Natural customer.. Mainly guava... This time i tried mango... V poor taste... Completely artificial n very diluted drink too.. Thumbs down from me,
B07Y3L2QD3,Natural-Mango-Juice-1L-Pack,2019-06-19,2,Taste of juice is ok not best . Much sugar added to manufacturing & tags of natural ingredients is only for marketing purpose. No any brand provide natural taste because of it's processing way. As a costumer we understood that avoid it . Take a slice of fruit is better than...,
B07Y3L2QD3,Natural-Mango-Juice-1L-Pack,2019-08-29,5,Actually I have ordered for mango juice but I have been supplied with Litchi Juice. It is 2nd time this has happened in this month itself. This unethical to your standard and do the precautionary measures to avoid such mistakes,
B07Y3L2QD3,Natural-Mango-Juice-1L-Pack,2019-08-23,5,Best packing for this type of the product and Also...the quality of the product...👍👍👍,
B07Y3L2QD3,Natural-Mango-Juice-1L-Pack,2020-07-18,5,Taste is very good. I got it in just 168/- Good taste and juice consumption is a good practice for health !,
B07Y3L2QD3,Natural-Mango-Juice-1L-Pack,2020-09-04,5,The taste was awesome and the juice was thick. Value for money ....Loved it !!,
B07Y3L2QD3,Natural-Mango-Juice-1L-Pack,2019-07-03,4,Tastes like original mango pulp and acidic. Very good.,
B07Y3L2QD3,Natural-Mango-Juice-1L-Pack,2020-08-12,5,quality and product is very good. And this is definitely worth for your money,
B07DCXBQPV,PaperBoat-Mixed-Fruit,2020-07-11,5,I received the product in a well packed box.. There were two boxes actually in the packing. I really appreciate the packing. It ensured that none of my pack was damaged. And the taste was of course sooo soothing,
B07DCXBQPV,PaperBoat-Mixed-Fruit,2020-10-04,5,Quality was fine however packing should be improved because I have received a damaged one with leaks on the outer cover.Hope everything will be fine for my further orders.,
B07DCXBQPV,PaperBoat-Mixed-Fruit,2020-06-05,4,Their guava drink is very thick and in comparison this is quite diluted. It tastes well but I wonder if my package was tampered with.,
B07DCXBQPV,PaperBoat-Mixed-Fruit,2020-07-17,4,Good product,
B07DCXBQPV,PaperBoat-Mixed-Fruit,2020-05-11,1,Didn’t taste good,
B07DCXBQPV,PaperBoat-Mixed-Fruit,2020-02-08,4,Good,
B07DCXBQPV,PaperBoat-Mixed-Fruit,2020-08-17,4,Not bad,
B07DCXBQPV,PaperBoat-Mixed-Fruit,2020-07-20,5,Awesome packaging... current dated product... Amazon done a great job...,
B07DCXBQPV,PaperBoat-Mixed-Fruit,2020-06-06,5,Its very tasty drinks,
B07DCXBQPV,PaperBoat-Mixed-Fruit,2020-01-27,5,Flavour is Excellent🤤🤤.Go for it🔥🔥,
B07DCXBQPV,PaperBoat-Mixed-Fruit,2020-07-11,5,I received the product in a well packed box.. There were two boxes actually in the packing. I really appreciate the packing. It ensured that none of my pack was damaged. And the taste was of course sooo soothing,
B07DCXBQPV,PaperBoat-Mixed-Fruit,2020-10-04,5,Quality was fine however packing should be improved because I have received a damaged one with leaks on the outer cover.Hope everything will be fine for my further orders.,
B07DCXBQPV,PaperBoat-Mixed-Fruit,2020-06-05,4,Their guava drink is very thick and in comparison this is quite diluted. It tastes well but I wonder if my package was tampered with.,
B07DCXBQPV,PaperBoat-Mixed-Fruit,2020-07-17,4,Good product,
B07DCXBQPV,PaperBoat-Mixed-Fruit,2020-05-11,1,Didn’t taste good,
B07DCXBQPV,PaperBoat-Mixed-Fruit,2020-02-08,4,Good,
B07DCXBQPV,PaperBoat-Mixed-Fruit,2020-08-17,4,Not bad,
B07DCXBQPV,PaperBoat-Mixed-Fruit,2020-07-20,5,Awesome packaging... current dated product... Amazon done a great job...,
B07DCXBQPV,PaperBoat-Mixed-Fruit,2020-06-06,5,Its very tasty drinks,
B07DCXBQPV,PaperBoat-Mixed-Fruit,2020-01-27,5,Flavour is Excellent🤤🤤.Go for it🔥🔥,
B07VYRQFBJ,Maggi-Masala-Noodles-Singles-840g,2018-11-02,1,Family fun pack! They supposedly forgot to mention its as ant family. God dammit there was live 🐜 ants in it! Are you serious! I just throwed it,
B07VYRQFBJ,Maggi-Masala-Noodles-Singles-840g,2019-01-16,1,The product is expired or something is very wrong with these Maggie.... Got stomach problems after eating them... They smell different and the best part is we cannot even return them,
B07VYRQFBJ,Maggi-Masala-Noodles-Singles-840g,2017-11-29,1,This product was supplied in damaged condition.The package is damaged and full of ants inside.Also the app states this product do not qualify for return.,
B07VYRQFBJ,Maggi-Masala-Noodles-Singles-840g,2019-09-13,1,Can you use a product when it is tasted by mouse before? Even last month I received suji with same condition but nobody listening. We are promoting amazon prime to all our friends & we are receiving defective grocery. Need help,
B07VYRQFBJ,Maggi-Masala-Noodles-Singles-840g,2019-06-09,5,"Maggi is called national food of India, lol. It's tasty and non sticky and can be prepared easily and quickly. So feeling hungry? It's maggi time now.Packaging and delivery was good and prompt. The noodles were recently made so it was a fresh product. Recommend to every age group as a quick snack.",
B07VYRQFBJ,Maggi-Masala-Noodles-Singles-840g,2019-05-30,5,"Review of maggi:Who am I to review Maggi. It's iconic for anyone born in the 80s and 90s.Review of this pack:1) better than large packs that you have to store in the open2) Lasts longer than regular pack of eight, again because its closed.Disadvantage :More plastic usage than regular pack or tenConclusion:If you are going to consume Maggi over longer period of time but this one, if you will finish pack of ten within a week buy the regular large packs as it saves plastic pollution--",
B07VYRQFBJ,Maggi-Masala-Noodles-Singles-840g,2018-03-15,1,"Seems damaged pack delivered with ants inside. Not one or two, thousands of them . Ants spread in whole kitchen now.",
B07VYRQFBJ,Maggi-Masala-Noodles-Singles-840g,2018-10-11,5,"I just love the 2 minute noodle !Pros-1. Broken during delivery or not, doesnt really matter to me, since I prefer to break them into 2 pieces anyways before I cook them2. This family big pack really is cost effective.3. Nestle maggi has been around for so many decades from my childhood and they have been consistent and have even braved the recent questions raised on the quality of their product!4. Masala taste is ever so tasty5. Cooks really fast...ok not 2, let's say 5mins!Cons-1. Though maggi comes with atta noodles (healthier) than this maggi, the atta maggi is quiet expensive than this normal maggi. How I wish the oats and atta maggi would have been cheaper too",
B07VYRQFBJ,Maggi-Masala-Noodles-Singles-840g,2018-09-18,1,The packet is torn and it seems eaten by eat. Shocked to see such poor quality check before delivery. Kindly replace or refund,
B07VYRQFBJ,Maggi-Masala-Noodles-Singles-840g,2019-09-30,5,Its Maggi!!..what's not to like??Got it for Rs.109 during the Great Indian Festival.The package arrived in a good condition and was delivered within 24 hours.✌,
B07VYRQFBJ,Maggi-Masala-Noodles-Singles-840g,2018-11-02,1,Family fun pack! They supposedly forgot to mention its as ant family. God dammit there was live 🐜 ants in it! Are you serious! I just throwed it,
B07VYRQFBJ,Maggi-Masala-Noodles-Singles-840g,2019-01-16,1,The product is expired or something is very wrong with these Maggie.... Got stomach problems after eating them... They smell different and the best part is we cannot even return them,
B07VYRQFBJ,Maggi-Masala-Noodles-Singles-840g,2017-11-29,1,This product was supplied in damaged condition.The package is damaged and full of ants inside.Also the app states this product do not qualify for return.,
B07VYRQFBJ,Maggi-Masala-Noodles-Singles-840g,2019-09-13,1,Can you use a product when it is tasted by mouse before? Even last month I received suji with same condition but nobody listening. We are promoting amazon prime to all our friends & we are receiving defective grocery. Need help,
B07VYRQFBJ,Maggi-Masala-Noodles-Singles-840g,2019-06-09,5,"Maggi is called national food of India, lol. It's tasty and non sticky and can be prepared easily and quickly. So feeling hungry? It's maggi time now.Packaging and delivery was good and prompt. The noodles were recently made so it was a fresh product. Recommend to every age group as a quick snack.",
B07VYRQFBJ,Maggi-Masala-Noodles-Singles-840g,2019-05-30,5,"Review of maggi:Who am I to review Maggi. It's iconic for anyone born in the 80s and 90s.Review of this pack:1) better than large packs that you have to store in the open2) Lasts longer than regular pack of eight, again because its closed.Disadvantage :More plastic usage than regular pack or tenConclusion:If you are going to consume Maggi over longer period of time but this one, if you will finish pack of ten within a week buy the regular large packs as it saves plastic pollution--",
B07VYRQFBJ,Maggi-Masala-Noodles-Singles-840g,2018-03-15,1,"Seems damaged pack delivered with ants inside. Not one or two, thousands of them . Ants spread in whole kitchen now.",
B07VYRQFBJ,Maggi-Masala-Noodles-Singles-840g,2018-10-11,5,"I just love the 2 minute noodle !Pros-1. Broken during delivery or not, doesnt really matter to me, since I prefer to break them into 2 pieces anyways before I cook them2. This family big pack really is cost effective.3. Nestle maggi has been around for so many decades from my childhood and they have been consistent and have even braved the recent questions raised on the quality of their product!4. Masala taste is ever so tasty5. Cooks really fast...ok not 2, let's say 5mins!Cons-1. Though maggi comes with atta noodles (healthier) than this maggi, the atta maggi is quiet expensive than this normal maggi. How I wish the oats and atta maggi would have been cheaper too",
B07VYRQFBJ,Maggi-Masala-Noodles-Singles-840g,2018-09-18,1,The packet is torn and it seems eaten by eat. Shocked to see such poor quality check before delivery. Kindly replace or refund,
B07VYRQFBJ,Maggi-Masala-Noodles-Singles-840g,2019-09-30,5,Its Maggi!!..what's not to like??Got it for Rs.109 during the Great Indian Festival.The package arrived in a good condition and was delivered within 24 hours.✌,
B079TXZ142,GluconD-Glucose-Based-Beverage-Orange,2020-06-02,2,Free Tiffin Box not provised which was mentioned on Packed. Not expected.,
B079TXZ142,GluconD-Glucose-Based-Beverage-Orange,2019-07-12,4,Good,
B079TXZ142,GluconD-Glucose-Based-Beverage-Orange,2020-05-17,1,"Out 2 ine was damaged it was torm and the powder coming out of it, no return policy",
B079TXZ142,GluconD-Glucose-Based-Beverage-Orange,2020-05-15,3,"Useful energizer, mild orange flavour.",
B079TXZ142,GluconD-Glucose-Based-Beverage-Orange,2019-03-28,5,Very nice quality product and quick delivery.,
B079TXZ142,GluconD-Glucose-Based-Beverage-Orange,2020-05-17,5,I'm very happy whit this prdodct Orange glocondi  favour,
B079TXZ142,GluconD-Glucose-Based-Beverage-Orange,2020-06-12,3,Feel artificial,
B079TXZ142,GluconD-Glucose-Based-Beverage-Orange,2019-07-02,5,Good product,
B079TXZ142,GluconD-Glucose-Based-Beverage-Orange,2020-05-28,1,Product is not seal pack. It was already opened.,
B079TXZ142,GluconD-Glucose-Based-Beverage-Orange,2020-06-14,5,Good for summer,
B079TXZ142,GluconD-Glucose-Based-Beverage-Orange,2020-06-02,2,Free Tiffin Box not provised which was mentioned on Packed. Not expected.,
B079TXZ142,GluconD-Glucose-Based-Beverage-Orange,2019-07-12,4,Good,
B079TXZ142,GluconD-Glucose-Based-Beverage-Orange,2020-05-17,1,"Out 2 ine was damaged it was torm and the powder coming out of it, no return policy",
B079TXZ142,GluconD-Glucose-Based-Beverage-Orange,2020-05-15,3,"Useful energizer, mild orange flavour.",
B079TXZ142,GluconD-Glucose-Based-Beverage-Orange,2019-03-28,5,Very nice quality product and quick delivery.,
B079TXZ142,GluconD-Glucose-Based-Beverage-Orange,2020-05-17,5,I'm very happy whit this prdodct Orange glocondi  favour,
B079TXZ142,GluconD-Glucose-Based-Beverage-Orange,2020-06-12,3,Feel artificial,
B079TXZ142,GluconD-Glucose-Based-Beverage-Orange,2019-07-02,5,Good product,
B079TXZ142,GluconD-Glucose-Based-Beverage-Orange,2020-05-28,1,Product is not seal pack. It was already opened.,
B079TXZ142,GluconD-Glucose-Based-Beverage-Orange,2020-06-14,5,Good for summer,
B07NLR9YPZ,Natural-Festive-Delight-Assorted-Jelimals,2019-11-13,3,its pricey... 6 packets of bnatural is 120 and 2 packets of jelimals is 20... so it should only be 140 and not 160...Feel like cheated amazon.. did not expect this from you,
B07NLR9YPZ,Natural-Festive-Delight-Assorted-Jelimals,2019-12-04,5,good and best gift,
B07NLR9YPZ,Natural-Festive-Delight-Assorted-Jelimals,2020-08-28,5,I bought it for RS.  110. At this price it's very good. Good package.,
B07NLR9YPZ,Natural-Festive-Delight-Assorted-Jelimals,2019-12-16,5,Nicely packed juices...very presentable & good option for gifting,
B07NLR9YPZ,Natural-Festive-Delight-Assorted-Jelimals,2020-09-22,5,Good productI got only in rupees.... 119,
B07NLR9YPZ,Natural-Festive-Delight-Assorted-Jelimals,2020-09-08,5,It's nice gift pack. Packing is good.,
B07NLR9YPZ,Natural-Festive-Delight-Assorted-Jelimals,2020-09-14,2,Taste not good.,
B07NLR9YPZ,Natural-Festive-Delight-Assorted-Jelimals,2019-12-31,5,Grear,
B07NLR9YPZ,Natural-Festive-Delight-Assorted-Jelimals,2019-12-23,5,Good,
B07NLR9YPZ,Natural-Festive-Delight-Assorted-Jelimals,2020-01-22,2,Good,
B07NLR9YPZ,Natural-Festive-Delight-Assorted-Jelimals,2019-11-13,3,its pricey... 6 packets of bnatural is 120 and 2 packets of jelimals is 20... so it should only be 140 and not 160...Feel like cheated amazon.. did not expect this from you,
B07NLR9YPZ,Natural-Festive-Delight-Assorted-Jelimals,2019-12-04,5,good and best gift,
B07NLR9YPZ,Natural-Festive-Delight-Assorted-Jelimals,2020-08-28,5,I bought it for RS.  110. At this price it's very good. Good package.,
B07NLR9YPZ,Natural-Festive-Delight-Assorted-Jelimals,2019-12-16,5,Nicely packed juices...very presentable & good option for gifting,
B07NLR9YPZ,Natural-Festive-Delight-Assorted-Jelimals,2020-09-22,5,Good productI got only in rupees.... 119,
B07NLR9YPZ,Natural-Festive-Delight-Assorted-Jelimals,2020-09-08,5,It's nice gift pack. Packing is good.,
B07NLR9YPZ,Natural-Festive-Delight-Assorted-Jelimals,2020-09-14,2,Taste not good.,
B07NLR9YPZ,Natural-Festive-Delight-Assorted-Jelimals,2019-12-31,5,Grear,
B07NLR9YPZ,Natural-Festive-Delight-Assorted-Jelimals,2019-12-23,5,Good,
B07NLR9YPZ,Natural-Festive-Delight-Assorted-Jelimals,2020-01-22,2,Good,
